市町村,こども食堂の名称,施設名,所在地,reallocation,lat,long,開催日,日時,時間,主な対象者,参加費用,担当者名,電話番号,その他
千葉市,きぼーるこども食堂,きぼーる,千葉市中央区中央4丁目5番1号,千葉市中央区中央4丁目5番1号,35.607412,140.123204,"毎月1回（曜日は未定）
6月～9月は開催いたしません",,16:00～18:00,,"18歳未満 100円
大人 300円",亀山,043-202-1504,要事前申し込み
千葉市,こども食堂 やまちゃん,やまちゃん,千葉市中央区南町2丁目13番6号,千葉市中央区南町2丁目13番6号,35.582066,140.135196,"夏休み限定
（週1～2回）",,,,"小学生 200円
中学生 300円",山崎,090-9827-4870,
千葉市,グレイステーブルこども食堂,グレイスリバーチャーチ,千葉市中央区要町10-2,千葉市中央区要町10-2,35.61585,140.123211,"毎月1回土曜日
学校の長期休暇期間は不定期開催",,11:30～14:30,,"18歳以下無料
大人 100円
ボランティア無料",小石,070-6442-0222,
千葉市,松ケ丘子ども食堂,"松ケ丘町七区睦会自治会館
(通称ひだまり）",千葉市中央区仁戸名町543番地5,千葉市中央区仁戸名町543番地5,35.58758,140.155995,年数回,,,,,,,
千葉市,こども食堂,焼肉商事,千葉市中央区道場北町３１７－1,千葉市中央区道場北町317-1,35.616389,140.132686,毎月第1火曜日,02,16:00～18:00,,"中学生までの
子ども限定 10円",木原,043-235-2919,
千葉市,ラヴィーレ千葉椿森,ラヴィーレ千葉椿森,千葉市中央区椿森6－3－5,千葉市中央区椿森6-3-5,35.62062,140.123617,毎月第4土曜日,27,10:30～13:00,,"小学生以下 無料
保護者 30０円","岸
小西",043-254-6541,"開催日時はイベント内容によって変更の場合
あり"
千葉市,松波フレンズこども食堂,NEW GRACE教会,千葉市中央区松波2-1-14,千葉市中央区松波2-1-14,35.619149,140.106783,第３土曜日,20,17:00?19:00,,"高校生以下 無料
その他 200円",夫裕貞,090?9625?2877,
千葉市,幸福軒子ども食堂,九州とんこつラーメン幸福軒,千葉市中央区中央3-13-15,千葉市中央区中央3-13-15,35.608129,140.12323,毎月第３木曜日,18,17:00-19:30,,"15才まで 100円
16才から 300円",小黒,043-225-5029,
千葉市,"おおなみこなみ
「青空市」",おおなみこなみ,千葉市花見川区検見川町3-159-2,千葉市花見川区検見川町3-159-2,35.646476,140.067644,年３回程度,,,,"おにぎりセット（５０円）等
の販売",鍋嶋,070-2157-1673,
千葉市,西小中台子ども食堂,"西小中台団地ショッピングセン
ター",千葉市花見川区西小中台2,千葉市花見川区西小中台2,35.651822,140.087029,毎月第4土曜日,27,12:00～15:00,,"18歳以下 無料
大人 500円※",松浦,"080-3729-1631
043-445-7377",
