市町村,こども食堂の名称,施設名,所在地,開催日,時間,主な対象者,参加費用,担当者名,電話番号,メールアドレス,その他,lat,long
千葉市,きぼーるこども食堂,きぼーる,"千葉市中央区中央4丁目5番1号
きぼーる内3Fロビー","毎月1回（曜日は未定）
6月～9月は開催いたしません",16:00～18:00,,"18歳未満 100円
大人 300円",亀山,043-202-1504,,要事前申し込み,35.607418,140.12311
千葉市,こども食堂 やまちゃん,やまちゃん,千葉市中央区南町2丁目13番6号,"夏休み限定
（週1～2回）",,,"小学生 200円
中学生 300円",山崎,090-9827-4870,,,35.582087,140.135229
千葉市,グレイステーブルこども食堂,グレイスリバーチャーチ,千葉市中央区要町10-2,"毎月1回土曜日
学校の長期休暇期間
は不定期開催",11:30～14:30,,"18歳以下無料
大人 100円
ボランティア無料",小石,070-6442-0222,,,35.615869,140.123228
千葉市,松ケ丘子ども食堂,"松ケ丘町七区睦会自治会館
(通称ひだまり）",千葉市中央区仁戸名町543番地5,年数回,,,,,,matsugaoka.ikusei@gmail.com,,35.587562,140.156026
千葉市,こども食堂,焼肉商事,"千葉市中央区道場北町３１７－
１",毎月第1火曜日,16:00～18:00,,"中学生までの
子ども限定 10円",木原,043-235-2919,,,35.616349,140.132737
千葉市,ラヴィーレ千葉椿森,ラヴィーレ千葉椿森,千葉市中央区椿森6－3－5,毎月第4土曜日,10:30～13:00,,"小学生以下 無料
保護者 30０円","岸
小西",043-254-6541,,"開催日時はイベント内容によって変更の場合
あり",,
千葉市,松波フレンズこども食堂,NEW GRACE教会,千葉市中央区松波2?1?14,第３土曜日,17:00?19:00,,"高校生以下 無料
その他 200円",夫裕貞,090?9625?2877,,,,
千葉市,幸福軒子ども食堂,九州とんこつラーメン幸福軒,千葉市中央区中央3-13-15,毎月第３木曜日,17:00-19:30,,"15才まで 100円
16才から 300円",小黒,043-225-5029,,,,
千葉市,"おおなみこなみ
「青空市」",おおなみこなみ,"千葉市花見川区検見川町3丁目
159番地2",年３回程度,,,"おにぎりセット（５０円）等
の販売",鍋嶋,070-2157-1673,,,,
千葉市,西小中台子ども食堂,"西小中台団地ショッピングセン
ター",千葉市花見川区西小中台2,毎月第4土曜日,12:00～15:00,,"18歳以下 無料
大人 500円※",松浦,"080-3729-1631
043-445-7377",matsuura@chiba-u.jp,,,
千葉市,和らぎ子ども食堂,花見川区役所,千葉市花見川区瑞穂1-1,"毎月第2日曜日
（休日開庁日）",11:00～12:30,,"子ども 200円
大人 400円",斉藤,090-1041-3214,,,,
千葉市,はたまち食堂,畑町ガーデン,千葉市花見川区畑町591番地17,毎月第3金曜日,17:30～19:00,,"中学生以下 無料
大人 300円","山田
青木",043-350-1550,,,,
千葉市,柏井こども食堂,,千葉市花見川区柏井４?４７?２,"第2木曜日夕方
第4日曜日昼",,,"小中学生無料
大人300円",高尾,080-3541-5927,,,,
千葉市,そんぽの家朝日ヶ丘,,"千葉市花見川区朝日ヶ丘2‐5‐
2",毎月第4土曜日,10:30～12:00,,"小学生以下 無料
保護者 300円","青木
森",043-213-5000,,"開催日時はイベント内容によって変更の場合
あり",,
千葉市,あったカフェ,サンタファーム,千葉市花見川区犢橋町６６６,毎月第１土曜日,11:00～13:00,,"無農薬野菜の収穫
体験希望者５００円",矢島幸枝,090-6488-1192,,,,
